FALLIDOS: 144 | VERIFICADOS: 257
FALLIDOS: 144 | VERIFICADOS: 259
FALLIDOS: 144 | VERIFICADOS: 261
FALLIDOS: 144 | VERIFICADOS: 263
FALLIDOS: 144 | VERIFICADOS: 265
FALLIDOS: 144 | VERIFICADOS: 267
FALLIDOS: 144 | VERIFICADOS: 269
FALLIDOS: 144 | VERIFICADOS: 271
FALLIDOS: 144 | VERIFICADOS: 273
FALLIDOS: 144 | VERIFICADOS: 275
FALLIDOS: 144 | VERIFICADOS: 277
FALLIDOS: 144 | VERIFICADOS: 279
FALLIDOS: 144 | VERIFICADOS: 281
FALLIDOS: 144 | VERIFICADOS: 283
FALLIDOS: 144 | VERIFICADOS: 285
FALLIDOS: 144 | VERIFICADOS: 287
FALLIDOS: 144 | VERIFICADOS: 289
FALLIDOS: 144 | VERIFICADOS: 291
FALLIDOS: 144 | VERIFICADOS: 293
FALLIDOS: 144 | VERIFICADOS: 295
FALLIDOS: 144 | VERIFICADOS: 297
FALLIDOS: 145 | VERIFICADOS: 298
FALLIDOS: 146 | VERIFICADOS: 299
FALLIDOS: 146 | VERIFICADOS: 301
FALLIDOS: 146 | VERIFICADOS: 303
FALLIDOS: 146 | VERIFICADOS: 305
FALLIDOS: 146 | VERIFICADOS: 307
FALLIDOS: 146 | VERIFICADOS: 309
FALLIDOS: 146 | VERIFICADOS: 311
FALLIDOS: 146 | VERIFICADOS: 313
FALLIDOS: 146 | VERIFICADOS: 315
FALLIDOS: 146 | VERIFICADOS: 317
FALLIDOS: 147 | VERIFICADOS: 318
FALLIDOS: 147 | VERIFICADOS: 320
FALLIDOS: 147 | VERIFICADOS: 322
FALLIDOS: 147 | VERIFICADOS: 324
FALLIDOS: 147 | VERIFICADOS: 326
FALLIDOS: 147 | VERIFICADOS: 328
FALLIDOS: 147 | VERIFICADOS: 330
FALLIDOS: 147 | VERIFICADOS: 332
FALLIDOS: 147 | VERIFICADOS: 334
FALLIDOS: 148 | VERIFICADOS: 335
FALLIDOS: 148 | VERIFICADOS: 337
FALLIDOS: 149 | VERIFICADOS: 338
FALLIDOS: 149 | VERIFICADOS: 340
FALLIDOS: 150 | VERIFICADOS: 341
FALLIDOS: 150 | VERIFICADOS: 343
FALLIDOS: 150 | VERIFICADOS: 345
FALLIDOS: 150 | VERIFICADOS: 347
FALLIDOS: 150 | VERIFICADOS: 349
FALLIDOS: 150 | VERIFICADOS: 350

--- ESTADISTICAS FINALES ---
Pedidos Fallidos: 150
Pedidos Verificados: 350
Casilleros vacíos: 119
Casilleros ocupados: 0
Casilleros fuera de servicio: 81
Total de ocupaciones: 500
TIEMPO TOTAL DE EJECUCION: 36907 ms
/////////////////////////////////////////////////////////////
